epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,4123.03,1.02147,0.9897,0.01532,0.7759,0.64083,0.71617,0.55712,0.7871,0.84924,0.01693,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4214.26,1.03123,0.97402,0.01542,0.78052,0.66078,0.72269,0.56923,0.76741,0.83114,0.0162,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4305.71,1.01617,0.97163,0.01559,0.76297,0.66149,0.72068,0.56414,0.77148,0.84492,0.01613,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4397.11,1.01012,0.9719,0.01521,0.73073,0.66123,0.71464,0.56629,0.773,0.83598,0.01615,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4488.73,1.00461,0.9467,0.01506,0.75452,0.6819,0.71687,0.57143,0.76371,0.82235,0.01603,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4579.96,0.99497,0.95063,0.01511,0.81032,0.64281,0.71889,0.57107,0.77187,0.87347,0.01605,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4671.05,0.985,0.92575,0.01478,0.79431,0.63498,0.71858,0.57663,0.75529,0.85631,0.01578,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4763.23,0.97499,0.92184,0.01463,0.77995,0.64795,0.71065,0.56983,0.74716,0.84581,0.01532,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4854.25,0.97594,0.90641,0.01457,0.76977,0.67215,0.72069,0.57246,0.74831,0.82701,0.01555,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4945.53,0.96891,0.89828,0.01439,0.7327,0.69506,0.72054,0.57697,0.74794,0.81801,0.01556,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5036.61,0.97479,0.91472,0.0146,0.79348,0.67333,0.72911,0.58516,0.74738,0.81304,0.0156,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5129.22,0.96832,0.89089,0.01448,0.76165,0.66759,0.72514,0.5815,0.73291,0.83336,0.01538,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5220.35,0.95661,0.87595,0.01415,0.7576,0.68089,0.72294,0.5756,0.73708,0.80695,0.01551,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5311.38,0.94912,0.876,0.01411,0.76526,0.6989,0.73367,0.58625,0.73101,0.81685,0.01534,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5403.75,0.94657,0.87931,0.01406,0.77676,0.67819,0.73173,0.58697,0.72558,0.82557,0.01517,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5495.48,0.93645,0.8505,0.01368,0.80351,0.66571,0.72768,0.581,0.73218,0.82267,0.01519,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5587.58,0.93876,0.84585,0.01395,0.79453,0.68123,0.73263,0.58455,0.72017,0.81637,0.01495,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5678.92,0.93394,0.83944,0.0138,0.78987,0.67294,0.73078,0.58615,0.72407,0.79124,0.01509,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5770.31,0.92924,0.8409,0.01366,0.79421,0.68113,0.7299,0.58675,0.70488,0.81898,0.01471,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5861.93,0.9167,0.80612,0.0135,0.78135,0.68289,0.73372,0.59363,0.70833,0.8229,0.01473,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5953.89,0.90912,0.81353,0.01339,0.79019,0.67999,0.738,0.59769,0.71622,0.80423,0.01502,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6045.04,0.91248,0.81013,0.01354,0.82541,0.65608,0.74077,0.59766,0.70782,0.79899,0.01462,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6136.84,0.90332,0.7993,0.01316,0.76909,0.69244,0.73636,0.59356,0.69613,0.7938,0.01445,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6228.47,0.8906,0.77867,0.01313,0.77345,0.7059,0.73389,0.59521,0.69503,0.81226,0.0144,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6319.74,0.89422,0.79389,0.01325,0.82723,0.66048,0.73042,0.59444,0.69585,0.82594,0.01433,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6411.21,0.89455,0.76483,0.01316,0.8277,0.65933,0.73856,0.60099,0.68683,0.80573,0.01441,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6502.8,0.88003,0.76785,0.01278,0.7701,0.68385,0.73255,0.59309,0.69231,0.82095,0.0144,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6594.49,0.87858,0.77803,0.01283,0.81486,0.66669,0.73467,0.59274,0.69508,0.81595,0.0144,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6686.53,0.87325,0.75783,0.01269,0.81218,0.66535,0.73725,0.59616,0.69833,0.8279,0.01449,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6778.9,0.88098,0.75584,0.01282,0.76302,0.70571,0.74035,0.60125,0.69169,0.80117,0.01429,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6870.51,0.8607,0.7324,0.01257,0.77268,0.70966,0.74332,0.60355,0.68941,0.79153,0.01417,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6961.94,0.86119,0.72796,0.01263,0.77619,0.70081,0.74403,0.60503,0.68644,0.78739,0.01408,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7053.82,0.86024,0.72218,0.01256,0.8004,0.68676,0.7428,0.6041,0.68089,0.79997,0.01389,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7145.88,0.8468,0.72348,0.01224,0.79465,0.68951,0.74281,0.60344,0.67954,0.81109,0.01394,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7238.32,0.8484,0.71749,0.01235,0.78975,0.69292,0.74471,0.60907,0.68059,0.79421,0.01396,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7330.46,0.83834,0.6997,0.01222,0.78678,0.69204,0.74005,0.60428,0.68089,0.81532,0.01397,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7422.04,0.83715,0.7054,0.01213,0.82981,0.67759,0.74437,0.60856,0.6823,0.82411,0.01398,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7513.37,0.83643,0.7044,0.01206,0.8263,0.6711,0.7445,0.61231,0.67158,0.82445,0.01377,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7604.82,0.82412,0.68116,0.01205,0.82168,0.67782,0.74212,0.61189,0.66909,0.81946,0.01378,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7696.4,0.82338,0.69854,0.01202,0.83056,0.66453,0.741,0.61218,0.66832,0.82729,0.0137,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7788.69,0.81501,0.67715,0.01177,0.82289,0.67309,0.74041,0.6126,0.66841,0.83607,0.01379,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7880.69,0.81284,0.67766,0.01162,0.82011,0.68453,0.74151,0.61131,0.66879,0.82721,0.01375,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7972.55,0.80704,0.64894,0.01169,0.82502,0.6905,0.74244,0.61082,0.6682,0.82834,0.01366,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8064.9,0.79402,0.65591,0.01146,0.82765,0.68493,0.7422,0.61211,0.67166,0.81653,0.01375,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8157.25,0.80276,0.67381,0.01161,0.82245,0.68797,0.74003,0.61082,0.66913,0.82693,0.01372,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8249.03,0.7948,0.66415,0.01152,0.81227,0.69359,0.74128,0.61167,0.66805,0.82889,0.0137,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8340.45,0.78511,0.65564,0.01118,0.80119,0.70817,0.7408,0.61189,0.66971,0.82623,0.01372,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
